PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
029.9+05.8,Pa~34,18,25,15.27,,0,2,4.7,276.31363,0.03464,T,2014apn6.confE..48K,29.5,-999.0,,,1237662979427929751,276.31366,0.03477,1,6,20.736,19.927,19.318,19.216,19.294,0.09,0.035,0.091,0.145,0.125,20.722,19.818,19.211,19.453,19.644,0.164,0.109,0.223,0.499,0.4,275146375184,275146510352,4503599904227344,275146510352,275146375184,20.755,19.905,19.3,19.215,19.292,0.092,0.023,0.017,0.024,0.092,0,0.488,0.017
030.5-00.2,PHR~J1847-0215,18,47,47.4,-,2,15,29.7,281.94767,-2.25825,T,2006MNRAS.373...79P,20.0,14.0,B,s,1237668709448814253,281.9479,-2.2583,1,6,23.679,25.038,21.801,21.42,19.981,1.063,0.737,0.131,0.123,0.134,24.209,24.862,21.459,21.523,20.096,2.891,1.786,0.259,0.383,0.387,9077568300941329,9007199397380369,4574243551477777,275179929616,275179929616,23.852,24.846,21.318,21.057,19.653,1.525,1.003,0.099,0.12,0.129,1,0.859,0.484
030.5-00.2,PHR~J1847-0215,18,47,47.4,-,2,15,29.7,281.94767,-2.25825,T,2006MNRAS.373...79P,20.0,14.0,B,s,1237668709448814247,281.94901,-2.25828,1,3,24.383,24.694,20.658,23.103,21.427,1.431,0.713,0.046,0.515,0.933,24.731,24.866,20.242,22.929,21.259,3.285,1.993,0.085,1.401,1.091,9077568409960721,142606609,4503874807267344,8421649,9147936776781841,24.583,24.598,20.028,22.579,20.924,2.041,0.976,0.035,0.484,0.41,2,4.822,0.63
030.5-18.4,Fr~2-42,19,53,36.0,-,10,19,28.99,298.39999,-10.32472,P,DFrew,3600.0,1800.0,,,1237668709456806477,298.40016,-10.32481,1,6,16.314,16.258,16.656,16.929,17.239,0.053,0.046,0.06,0.088,0.059,16.42,16.294,16.748,16.997,17.362,0.086,0.087,0.135,0.198,0.136,402685968,268468240,4503599895838736,268468240,402685968,16.331,16.242,16.676,16.926,17.245,0.007,0.004,0.005,0.006,0.013,1,0.67,-0.019
030.5-18.4,Fr~2-42,19,53,36.0,-,10,19,28.99,298.39999,-10.32472,P,DFrew,3600.0,1800.0,,,1237668709456806476,298.40001,-10.32544,1,6,16.187,16.161,16.521,16.832,17.1,0.032,0.03,0.031,0.051,0.038,16.234,16.187,16.481,16.841,17.094,0.049,0.063,0.07,0.126,0.086,275146375184,268468240,4503599895838736,268468240,268468240,16.166,16.149,16.458,16.791,17.038,0.006,0.004,0.004,0.005,0.012,2,2.609,0.063
030.8+03.4,Abell~47,18,35,22.6,-,0,13,49.69,278.84402,-0.23047,T,1992secg.book.....A,17.5,12.3,B,r;s;,1237668709984110248,278.84489,-0.23029,1,3,25.803,25.115,21.084,24.464,22.394,0.86,0.992,0.085,1.049,1.025,25.217,25.115,20.973,24.564,22.942,2.585,2.452,0.188,2.816,2.877,9008298909110545,9007199431069969,6755674620952592,11258999211168017,9007199288295441,25.919,25.114,20.761,24.573,22.445,0.928,0.915,0.058,1.094,1.108,2,3.2,0.323
030.8+03.4,Abell~47,18,35,22.6,-,0,13,49.69,278.84402,-0.23047,T,1992secg.book.....A,17.5,12.3,B,r;s;,1237668709984110244,278.84392,-0.22919,1,6,23.635,25.38,21.136,21.094,19.931,1.775,0.688,0.1,0.131,0.17,24.272,25.253,21.017,21.336,20.026,2.72,1.655,0.21,0.415,0.453,9147936776835089,9007199431069969,4503874807300112,302022672,275179929616,23.83,25.38,20.903,20.931,19.716,1.267,0.829,0.062,0.093,0.131,3,4.633,0.233
030.8+03.4,Abell~47,18,35,22.6,-,0,13,49.69,278.84402,-0.23047,T,1992secg.book.....A,17.5,12.3,B,r;s;,1237668709984110212,278.844,-0.23087,1,6,22.298,20.315,18.64,17.756,17.113,1.057,0.024,0.02,0.03,0.035,20.907,31.07,17.432,18.066,18.093,1.443,0.647,0.057,0.545,1.196,71468524408849,275289117200,4503599895974416,268468240,268468240,22.411,20.307,18.607,17.761,17.105,0.379,0.024,0.01,0.008,0.014,1,1.425,0.033
030.8+03.4a,IPHAS~J183531.31-001550.0,18,35,31.3,-,0,15,50.0,278.88046,-0.26389,P,2009A&A...504..291V,-999.0,-999.0,S,,1237668709984109544,278.8814,-0.2639,1,3,24.471,24.29,21.919,20.697,19.81,1.354,0.654,0.189,0.096,0.138,24.763,24.206,21.989,20.626,19.988,2.568,1.33,0.435,0.205,0.363,9077568309297425,9007199430902033,4573968673538065,302022672,301989904,24.66,24.206,21.775,20.523,19.709,1.515,0.595,0.123,0.061,0.12,2,3.392,0.144
030.8+03.4a,IPHAS~J183531.31-001550.0,18,35,31.3,-,0,15,50.0,278.88046,-0.26389,P,2009A&A...504..291V,-999.0,-999.0,S,,1237668709984109543,278.88135,-0.2631,1,3,24.72,24.774,21.81,20.674,19.622,1.366,0.678,0.504,0.297,0.209,24.773,25.015,21.633,20.631,19.9,2.941,1.732,1.186,0.903,0.745,2314850208611209489,2314920577623712017,2310346883987439632,2305843009482162192,2305843284360069136,24.763,24.834,21.52,20.417,19.458,1.66,0.871,0.109,0.062,0.107,3,4.272,0.29
