PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
084.2+01.0,K~4-55,20,45,10.0,,44,39,14.58,311.29175,44.65405,T,1992secg.book.....A,71.0,30.0,B,m;r;s;,1237653733431378867,311.29199,44.65483,1,3,22.632,20.733,18.361,20.893,20.028,1.308,0.136,0.049,0.134,0.248,22.853,20.722,18.103,20.733,20.194,3.737,0.3,0.101,0.343,0.735,9007199422681105,70369046200337,4503874807300112,70643924107281,70369046200337,22.702,20.507,17.999,20.508,19.784,1.684,0.1,0.011,0.096,0.19,0,2.862,0.362
092.8+00.7,Pa~8,21,20,52.9,,50,56,38.44,320.22054,50.94401,T,2010PASA...27..156J,7.0,7.0,E,m;p;r;s;,1237672024628663786,320.22086,50.94469,1,6,22.973,22.281,20.375,22.645,20.475,0.989,0.167,0.089,0.384,0.193,23.731,22.191,19.981,22.545,20.538,2.18,0.376,0.178,0.99,0.503,9096260132929553,70643924107281,4574243551445009,41943313,275179896848,23.047,21.914,19.776,22.233,20.153,0.698,0.114,0.025,0.317,0.195,4,2.537,0.599
092.8+00.7,Pa~8,21,20,52.9,,50,56,38.44,320.22054,50.94401,T,2010PASA...27..156J,7.0,7.0,E,m;p;r;s;,1237672024628663785,320.22033,50.94377,1,3,24.517,22.131,20.935,21.942,21.875,1.115,0.155,0.142,0.209,0.73,24.676,22.293,20.84,21.774,22.075,2.28,0.373,0.319,0.427,1.743,9007199397515537,70369046200337,4574243551477777,2252074993614864,167804945,24.546,21.987,20.665,21.711,21.742,1.31,0.107,0.047,0.164,0.604,2,0.99,0.269
092.8+00.7,Pa~8,21,20,52.9,,50,56,38.44,320.22054,50.94401,T,2010PASA...27..156J,7.0,7.0,E,m;p;r;s;,1237672024628663783,320.22064,50.94411,1,3,23.171,21.709,20.532,23.123,20.805,0.568,0.1,0.11,0.638,0.296,23.944,21.06,20.091,22.568,20.828,2.362,0.128,0.199,1.086,0.708,9077568435257361,2252074993614864,4574243517890577,9007199388958737,70369046200337,23.17,21.256,19.958,22.581,20.58,0.759,0.062,0.034,0.419,0.274,1,0.415,0.574
092.8+00.7,Pa~8,21,20,52.9,,50,56,38.44,320.22054,50.94401,T,2010PASA...27..156J,7.0,7.0,E,m;p;r;s;,1237672024628663776,320.22151,50.94421,1,3,23.522,22.075,20.216,22.141,20.66,0.445,0.166,0.085,0.236,0.248,24.291,22.117,19.938,21.832,20.911,2.469,0.391,0.175,0.464,0.709,9007199296868625,70643932496145,4503874807300112,9007199288328209,33587217,23.771,21.82,19.757,21.659,20.506,1.093,0.099,0.024,0.176,0.243,3,2.321,0.458
094.5-00.8a,LDu~1,21,36,5.8,,50,54,9.29,324.024,50.90258,T,2017LAstr.131b..46L,132.0,120.0,R,a;r;s;,1237672026776928886,324.02398,50.9026,1,6,22.838,21.408,21.215,21.344,22.235,0.342,0.056,0.062,0.115,0.824,23.237,21.669,21.548,21.869,22.474,0.83,0.092,0.121,0.267,1.144,9007199296819473,275179896848,4503599929360400,70369046167569,9147936776781841,22.932,21.431,21.255,21.389,22.24,0.547,0.057,0.059,0.116,0.653,0,0.097,-0.04
095.1-02.0,M~2-49,21,43,17.6,,50,25,14.59,325.82343,50.42072,T,1992secg.book.....A,3.0,3.0,R,m;s;,1237671941431362930,325.82342,50.42069,1,3,17.976,15.163,15.143,16.157,15.592,0.034,0.067,0.027,0.06,0.016,17.558,14.632,14.574,15.483,14.859,0.014,0.001,0.003,0.011,0.007,2252074960191504,2252074960195600,6755674587566096,2252074960060432,2252074960191504,17.532,14.642,14.589,15.491,14.855,0.012,0.003,0.003,0.003,0.004,0,0.117,0.554
095.2+25.4,Kn~59,18,41,41.9,,65,11,57.98,280.42459,65.19944,T,2012IAUS..283..414K,4.0,4.0,R,a;m;r;s;,1237671941419368464,280.42462,65.1995,1,3,18.692,18.885,18.312,19.904,19.616,0.031,0.017,0.018,0.027,0.069,17.732,18.019,16.781,18.714,18.188,0.022,0.009,0.005,0.04,0.093,2252074960060432,2252074960195600,6755674587430928,2252074960195600,2252075094278672,17.63,17.901,16.765,18.605,18.183,0.015,0.007,0.004,0.019,0.049,0,0.236,1.547
098.1-28.5,Fr~2-18,23,11,28.1,,29,29,33.9,347.86717,29.49275,P,DFrew,1800.0,1500.0,,,1237680333246169248,347.86716,29.49275,1,6,14.704,15.191,15.68,16.059,16.395,0.016,0.019,0.018,0.014,0.015,14.737,15.206,15.736,16.111,16.445,0.002,0.001,0.002,0.003,0.008,268468224,268468224,4503599895838720,268468224,419463680,14.707,15.165,15.683,16.06,16.391,0.005,0.004,0.004,0.005,0.008,0,0.047,-0.004
109.4+07.7,Kn~31,22,27,39.19,,66,44,9.5,336.91329,66.73597,T,2010PASA...27..156J,80.0,80.0,R,a;r;s;,1237663229078669604,336.9133,66.736,1,6,21.069,20.548,20.1,19.876,19.742,0.095,0.028,0.025,0.027,0.089,21.098,20.586,20.199,20.033,19.92,0.15,0.044,0.046,0.06,0.207,275146375168,275146375168,4503874773745664,275280592896,275280592896,21.099,20.543,20.096,19.877,19.746,0.099,0.027,0.025,0.028,0.094,0,0.121,0.004
109.5-04.3,StDr~97,23,14,18.82,+,55,59,33.9,348.57842,55.99275,P,ziggy,50.0,-999.0,E,a;,1237663233902969791,348.57947,55.9937,1,6,22.576,21.018,19.864,19.376,19.148,0.362,0.038,0.029,0.056,0.118,23.174,21.299,20.048,19.557,19.375,0.932,0.086,0.063,0.128,0.311,70369012645905,275146510352,4503874773745680,268468240,402685968,22.68,21.058,19.883,19.39,19.167,0.328,0.035,0.02,0.019,0.051,0,4.024,-0.019
110.1+01.9,PM~1-339,22,58,51.6,,61,57,43.92,344.715,61.9622,T,1992secg.book.....A,5.5,-999.0,B,m;,1237663234437088484,344.71538,61.96187,1,3,23.698,21.194,17.648,18.11,16.937,0.713,0.042,0.027,0.025,0.028,24.653,20.939,17.273,17.625,16.573,2.496,0.073,0.051,0.046,0.048,9007199388991505,2252074960060432,6755674587430928,2252074960060432,2252075094278160,23.867,20.879,17.256,17.62,16.56,0.922,0.034,0.005,0.007,0.01,1,1.333,0.391
110.1+01.9,PM~1-339,22,58,51.6,,61,57,43.92,344.715,61.9622,T,1992secg.book.....A,5.5,-999.0,B,m;,1237663234437088479,344.71431,61.96258,1,3,23.176,21.774,18.094,18.709,17.481,0.451,0.083,0.069,0.081,0.074,22.244,21.523,17.526,18.048,16.894,0.613,0.203,0.145,0.173,0.146,11258999211073553,275146375184,4503874773745680,275146375184,275146375184,22.69,21.298,17.516,18.042,16.923,0.426,0.053,0.006,0.009,0.014,2,1.792,0.579
110.2+03.3,IPHASX~J225453.2+631827,22,54,53.2,,63,18,27.58,343.72177,63.30766,P,IPHAS_candidates,24.0,-999.0,E,,1237663230154310201,343.72165,63.30737,1,6,23.223,22.949,20.904,19.426,18.723,0.55,0.204,0.046,0.024,0.049,23.536,23.407,21.015,19.504,18.978,1.195,0.527,0.1,0.043,0.124,9007199288295441,275179896848,4503874807267344,275179896848,275179896880,23.279,22.957,20.872,19.391,18.726,0.572,0.187,0.043,0.019,0.043,0,1.055,0.032
113.6-06.9,Abell~83,23,46,46.7,,54,44,37.68,356.69461,54.7438,T,1992secg.book.....A,47.0,42.0,R,a;r;,1237649769715795028,356.69462,54.74394,1,6,21.173,21.66,21.166,22.203,22.892,0.16,0.352,0.093,0.682,2.28,21.558,22.51,21.206,26.689,23.674,0.414,1.312,0.219,1.646,3.263,301989904,9007199422648337,4573968673538065,9007199422644241,9007199431037201,21.217,21.684,21.141,22.189,22.934,0.173,0.486,0.089,0.762,1.863,0,0.497,0.025
114.0-04.6,Abell~82,23,45,47.8,,57,3,59.22,356.44922,57.06645,T,1992secg.book.....A,133.0,94.0,B,m;p;s;,1237649769716777399,356.44898,57.06623,1,6,17.839,15.897,14.367,14.099,14.101,0.065,0.044,0.017,0.016,0.028,39.148,15.202,13.659,14.293,13.848,0.544,1.092,0.257,0.485,0.318,268603408,268603920,4503599895974416,268603408,268603408,17.852,15.877,14.365,14.114,14.069,0.016,0.003,0.002,0.002,0.004,0,0.928,0.002
114.4+00.0,IPHASX~J233841.2+614146,23,38,41.2,,61,41,46.07,354.67171,61.69613,T,2014MNRAS.443.3388S,61.4,45.7,E,a;r;s;,1237649770255745135,354.67161,61.69602,1,6,24.046,24.01,20.247,19.938,19.637,2.098,1.237,0.062,0.079,0.183,24.972,25.112,20.334,20.061,20.055,3.916,3.809,0.145,0.184,0.598,142774545,9007199388992785,4503874815688720,302022672,275314147344,24.073,24.197,20.244,19.943,19.65,1.922,1.141,0.046,0.064,0.157,0,0.416,0.003
129.2-02.0,We~2-5,1,42,37.88,,60,9,47.2,25.65783,60.16311,T,1992secg.book.....A,210.0,165.0,B,a;m;r;s;,1237671069001581500,25.65791,60.16315,1,6,21.192,20.248,21.268,20.483,20.939,0.091,0.495,0.059,0.689,4.257,22.133,20.697,22.148,20.828,21.26,0.157,0.617,0.116,0.836,4.549,117093865458110480,275146510352,76561193934782480,2252074960061712,70644024869393,21.745,20.247,21.503,20.476,20.956,0.165,0.023,0.077,0.056,0.296,0,0.193,-0.235
129.5+04.5,K~3-91,1,58,35.4,,66,34,0.48,29.6477,66.5668,T,1992secg.book.....A,10.0,10.0,B,m;s;,1237670446226473468,29.64855,66.56746,1,3,24.048,21.526,20.28,22.497,22.022,0.668,0.093,0.089,0.413,0.626,24.099,21.4,20.129,22.141,21.76,2.873,0.194,0.193,0.763,1.504,9007199254872081,275179896848,4574243551445009,32785,33587217,24.138,21.223,19.945,22.098,21.758,1.372,0.055,0.03,0.258,0.533,0,2.653,0.335
129.6-05.6,KLSS~2-8,1,40,5.84,,56,34,54.6,25.02433,56.58183,T,2001A&A...378..843K,90.0,75.0,E,r;,1237671068463137338,25.02434,56.58183,1,6,19.794,19.815,19.875,20.062,20.204,0.043,0.015,0.026,0.042,0.214,19.769,19.774,19.901,20.253,21.008,0.061,0.034,0.046,0.105,1.01,275146375184,268468240,4503874773880848,268468240,268468240,19.793,19.803,19.872,20.071,20.232,0.039,0.015,0.022,0.039,0.178,0,0.032,0.003
130.2+01.3,IC~1747,1,57,35.8,,63,19,18.12,29.399,63.3217,T,1992secg.book.....A,13.0,13.0,E,m;s;,1237670445151291311,29.3987,63.32178,1,3,16.313,15.487,15.419,15.656,15.684,0.015,0.013,0.005,0.017,0.014,14.554,12.191,12.491,13.507,13.076,0.003,0.001,0.002,0.007,0.005,2251800082153488,11259274214801428,6755399709523984,268599312,268468244,14.786,13.046,13.236,13.992,13.587,0.004,0.002,0.002,0.003,0.003,0,0.573,2.183
130.3-11.7,M~1-1,1,37,19.4,,50,28,11.5,24.33096,50.46986,T,1992secg.book.....A,7.0,6.0,I,s;,1237666214622789703,24.33122,50.47016,1,3,16.129,15.477,15.975,17.016,16.839,0.019,0.011,0.007,0.011,0.014,14.684,14.049,14.052,15.145,15.022,0.003,0.001,0.001,0.003,0.009,275213619272,275213484104,4503874840854600,275213484616,275230261832,14.642,14.102,14.095,15.122,15.001,0.003,0.002,0.002,0.003,0.006,0,1.241,1.88
130.4+03.1,K~3-92,2,3,41.3,,64,57,39.13,30.92204,64.96087,T,1992secg.book.....A,18.0,12.0,B,p;r;s;,1237671067393262062,30.92149,64.96157,1,6,21.385,19.922,19.341,20.858,20.992,0.16,0.095,0.085,0.202,0.517,21.437,19.798,19.282,20.874,21.066,0.335,0.166,0.176,0.444,1.331,302022672,228973598605329,4573968673538065,70369046200337,70369012645905,21.21,19.654,19.097,20.634,20.797,0.134,0.019,0.018,0.085,0.342,1,2.669,0.244
130.4+03.1,K~3-92,2,3,41.3,,64,57,39.13,30.92204,64.96087,T,1992secg.book.....A,18.0,12.0,B,p;r;s;,1237671067393262024,30.92328,64.96032,1,6,24.633,23.298,21.071,20.787,20.526,1.666,0.804,0.161,0.138,0.313,24.635,23.474,21.169,20.651,20.359,3.252,2.14,0.358,0.239,0.612,9007199431065873,310542608,4503599929393168,70643924107281,33984529,24.635,23.254,21.006,20.702,20.414,1.273,0.406,0.083,0.078,0.207,2,2.734,0.065
130.4+03.1,K~3-92,2,3,41.3,,64,57,39.13,30.92204,64.96087,T,1992secg.book.....A,18.0,12.0,B,p;r;s;,1237671067393262023,30.92039,64.96133,1,3,21.538,19.733,19.185,20.865,20.16,0.179,0.081,0.077,0.142,0.192,21.479,19.553,19.089,20.889,20.156,0.344,0.157,0.154,0.311,0.463,2322443737792529,70643924205585,4503874807267344,70369180418065,70369046200337,21.298,19.426,18.91,20.604,19.907,0.144,0.016,0.015,0.084,0.157,3,3.019,0.275
131.0+03.7,Fe~8,2,10,10.45,,65,25,14.3,32.54354,65.42064,T,2017LAstr.131b..46L,58.0,55.0,E,a;r;s;,1237671066856654964,32.54362,65.42065,1,6,24.624,21.136,19.526,18.638,18.082,0.908,0.047,0.02,0.018,0.032,23.911,21.182,19.599,18.759,18.167,1.52,0.078,0.032,0.025,0.057,11258999211163921,275146375184,4503599895805968,275146342416,275146342416,24.785,21.128,19.529,18.637,18.076,0.901,0.046,0.017,0.013,0.029,0,0.12,-0.003
134.3-43.2,Pre~8,1,26,36.0,+,18,51,19.8,21.65,18.8555,T,2017LAstr.131b..46L,96.0,96.0,R,a;r;,1237679503254093836,21.65022,18.85511,1,3,17.414,17.913,18.255,18.552,18.681,0.028,0.029,0.018,0.027,0.052,17.377,17.772,17.988,18.118,18.061,0.016,0.009,0.016,0.024,0.091,285213184,268468736,4503599895838720,268599296,275146375168,17.33,17.747,18.04,18.286,18.387,0.012,0.006,0.008,0.013,0.048,0,1.58,0.215
136.6+61.9,PN~G136.7+61.9,12,7,28.4,,54,1,29.21,181.86846,54.02478,T,dfrew,420.0,355.0,,,1237657589248819248,181.86845,54.02476,1,6,15.211,15.702,16.239,16.63,16.959,0.017,0.022,0.019,0.021,0.014,15.221,15.687,16.281,16.669,17.035,0.003,0.002,0.002,0.004,0.016,293634048,293634048,4503599921004544,285245440,419463680,15.167,15.638,16.227,16.616,16.954,0.004,0.003,0.004,0.005,0.011,0,0.07,0.012
144.3-15.5,Abell~4,2,45,23.7,,42,33,4.93,41.34861,42.55137,T,1992secg.book.....A,20.0,20.0,R,r;,1237661119700992907,41.34851,42.55127,1,3,19.047,18.699,19.353,19.679,19.544,0.021,0.013,0.019,0.028,0.073,16.359,14.785,15.462,16.657,16.843,0.015,0.003,0.006,0.034,0.105,2252074960191504,2252074960060432,6755674587562000,2251800082285072,2252074960060432,16.13,14.846,15.411,16.518,16.428,0.009,0.003,0.004,0.013,0.044,0,0.437,3.942
144.8+65.8,LTNF~1,11,57,44.8,,48,56,18.38,179.43681,48.93844,T,2001A&A...378..843K,230.0,215.0,B,a;s;,1237658203436154932,179.43679,48.93841,1,6,15.5,15.78,15.873,15.847,15.836,0.012,0.016,0.009,0.014,0.015,15.525,15.804,15.918,15.912,15.895,0.003,0.002,0.002,0.002,0.006,268599312,268468240,4503599895969808,268599312,268468240,15.474,15.756,15.875,15.858,15.832,0.004,0.003,0.004,0.004,0.006,0,0.122,-0.001
149.0+04.4,K~4-47,4,20,45.3,,56,18,12.6,65.1886,56.3035,T,1992secg.book.....A,12.2,-999.0,B,p;,1237666465328399872,65.18987,56.30433,1,6,21.912,20.716,18.227,20.477,20.09,0.15,0.105,0.028,0.084,0.112,21.898,20.757,18.166,20.454,20.074,0.259,0.215,0.061,0.193,0.253,275146375184,268599312,4503599895973904,268468240,275280592912,21.873,20.652,18.1,20.34,19.967,0.15,0.025,0.007,0.037,0.089,2,3.926,0.127
149.0+04.4,K~4-47,4,20,45.3,,56,18,12.6,65.1886,56.3035,T,1992secg.book.....A,12.2,-999.0,B,p;,1237666465328399871,65.18739,56.30276,1,6,23.624,21.98,19.301,22.454,21.199,0.655,0.223,0.056,0.375,0.287,23.851,22.331,19.402,22.737,21.468,1.275,0.591,0.127,1.026,0.747,9007199422545937,70369046331409,4503599929393168,70369180418065,70369180418065,23.692,22.015,19.284,22.47,21.234,0.581,0.072,0.013,0.208,0.238,1,3.596,0.017
149.1+08.7,Kn~34,4,45,18.65,,59,9,24.6,71.32771,59.15683,T,2010PASA...27..156J,60.0,57.0,R,a;r;s;,1237667207817003153,71.32669,59.15759,1,6,24.672,21.284,19.539,18.792,18.349,0.719,0.037,0.016,0.016,0.034,24.667,21.414,19.585,18.929,18.458,1.383,0.073,0.023,0.034,0.082,9007199431069969,275179929616,4503599929393168,302022672,275179929616,24.68,21.274,19.502,18.784,18.313,0.746,0.038,0.015,0.013,0.024,0,3.34,0.037
149.4-09.2,HaWe~4,3,27,15.4,,45,24,20.48,51.81432,45.40569,T,1992secg.book.....A,620.0,480.0,E,a;r;,1237670459123892267,51.81423,45.40566,1,6,16.805,17.035,17.278,17.501,17.788,0.02,0.008,0.009,0.008,0.02,16.876,17.063,17.334,17.549,17.927,0.007,0.004,0.005,0.008,0.04,158329976553488,302022672,4503599930408976,303071248,275180027920,16.818,17.015,17.278,17.496,17.799,0.008,0.004,0.005,0.007,0.019,0,0.242,0.0
149.7-03.3,IsWe~1,3,49,5.9,,50,0,14.83,57.27453,50.00412,L,1992secg.book.....A,750.0,700.0,R,a;r;,1237667138562294201,57.27465,50.00413,1,6,16.084,16.319,16.604,16.908,17.19,0.024,0.012,0.008,0.012,0.018,16.108,16.342,16.667,16.954,17.239,0.005,0.002,0.003,0.005,0.024,302022672,302022672,4503599929393168,303071248,302022672,16.078,16.301,16.62,16.906,17.19,0.005,0.003,0.004,0.005,0.014,0,0.275,-0.016
150.0-00.3,Te~5,4,3,29.52,,52,8,26.0,60.873,52.14056,T,2010PASA...27..156J,24.9,18.0,B,p;,1237667138026800820,60.87139,52.13976,1,6,24.692,23.819,22.172,23.189,22.918,1.192,0.42,0.187,0.488,0.773,24.572,24.093,22.21,23.415,22.801,3.985,2.292,0.766,2.789,3.17,9007199397380369,9007199397515537,4503599937782032,45035996315816209,9007199397515537,24.686,23.743,22.043,23.085,22.921,1.312,0.45,0.157,0.515,0.889,2,4.58,0.129
150.0-00.3,Te~5,4,3,29.52,,52,8,26.0,60.873,52.14056,T,2010PASA...27..156J,24.9,18.0,B,p;,1237667138026800818,60.87301,52.14056,1,3,23.525,21.636,20.735,20.557,20.161,0.769,0.06,0.043,0.05,0.118,29.452,18.63,18.084,18.732,30.89,0.552,0.061,0.044,0.166,0.992,70369012645905,2252075102802192,6755674587566096,2252074968584464,2252075094413328,23.434,18.94,17.999,18.394,18.449,4.856,0.037,0.027,0.055,0.231,1,0.024,2.736
158.8+37.1,Abell~28,8,41,35.6,,58,13,48.43,130.39819,58.23012,L,1992secg.book.....A,330.0,316.0,R,a;s;,1237663547978743854,130.39815,58.23011,1,6,15.895,16.293,16.721,17.089,17.425,0.019,0.021,0.021,0.014,0.025,15.954,16.296,16.787,17.131,17.415,0.005,0.002,0.004,0.006,0.028,285245440,285245952,4503599921136128,285245440,275297370112,15.897,16.262,16.727,17.085,17.414,0.005,0.004,0.004,0.006,0.016,0,0.089,-0.006
162.1+47.9,WPS~54,9,51,25.9,,53,9,30.71,147.85788,53.15853,P,2005AJ....129..927R,3600.0,3600.0,,,1237655107294920819,147.8581,53.15854,1,6,14.391,14.878,15.476,15.858,16.238,0.012,0.017,0.01,0.011,0.02,14.421,14.885,15.477,15.869,16.258,0.002,0.001,0.002,0.002,0.008,268599312,268468240,4503599895969808,268603408,268468240,14.408,14.847,15.451,15.839,16.202,0.003,0.003,0.003,0.004,0.007,0,0.481,0.025
170.3+15.8,NGC~2242,6,34,7.4,,44,46,38.1,98.53067,44.77725,T,1992secg.book.....A,20.0,20.0,R,p;r;s;,1237653737728508030,98.53063,44.77716,1,3,16.23,16.512,16.796,17.203,17.5,0.02,0.015,0.013,0.016,0.028,15.134,14.584,14.559,15.522,15.761,0.015,0.004,0.004,0.011,0.048,2251800082289168,2251800082288656,6755399709655056,2251800082284560,2252074960195600,15.053,14.654,14.59,15.45,15.515,0.008,0.003,0.003,0.006,0.019,0,0.322,2.205
174.2-14.6,H~3-29,4,37,23.4,,25,2,38.9,69.34758,25.04414,T,1992secg.book.....A,23.8,23.0,R,a;r;s;,1237660558135787603,69.34761,25.04415,1,6,18.805,18.521,18.213,18.128,18.103,0.032,0.024,0.023,0.017,0.029,18.908,18.665,18.257,18.167,18.211,0.023,0.035,0.047,0.028,0.058,318767632,302022672,4503599929393168,302022672,275179929616,18.833,18.544,18.203,18.104,18.095,0.018,0.008,0.008,0.008,0.023,0,0.095,0.011
176.7-33.8,Alves~3,3,43,14.3,,10,29,38.8,55.80958,10.49411,L,DFrew,468.0,-999.0,E,a;m;s;,1237671258511245418,55.8098,10.49399,1,6,15.965,16.328,16.739,17.069,17.348,0.027,0.024,0.013,0.016,0.024,16.002,16.344,16.78,17.132,17.367,0.005,0.002,0.003,0.005,0.018,285245440,293634048,4503599921004544,285245440,419463168,15.944,16.3,16.731,17.063,17.332,0.006,0.004,0.005,0.005,0.013,0,0.909,0.008
178.1-04.0,IPHASX~J052531.1+281945,5,25,31.2,,28,19,46.42,81.37998,28.32956,T,2011A&A...530A.107V,10.1,-999.0,E,s;,1237664089149801420,81.37994,28.32917,1,3,21.425,19.588,19.25,19.284,18.872,0.097,0.04,0.034,0.019,0.043,21.047,18.958,18.43,19.143,18.747,0.219,0.073,0.071,0.06,0.142,70643924107281,70643925286929,4503874808348688,303071248,302022672,20.794,18.896,18.376,18.847,18.363,0.096,0.011,0.01,0.016,0.039,0,1.396,0.874
178.3-02.5,K~3-68,5,31,35.9,,28,58,41.56,82.8994,28.97821,T,1992secg.book.....A,12.0,12.0,E,r;s;,1237671256914330787,82.8992,28.97704,1,3,24.591,22.099,21.452,21.487,20.753,0.699,0.203,0.13,0.115,0.179,24.479,22.42,21.738,21.447,20.654,1.104,0.476,0.291,0.215,0.311,9007199397380369,70369046200337,4573968673538065,275179896848,70643924107281,24.586,22.122,21.456,21.403,20.673,0.715,0.113,0.075,0.071,0.133,3,4.259,-0.004
178.3-02.5,K~3-68,5,31,35.9,,28,58,41.56,82.8994,28.97821,T,1992secg.book.....A,12.0,12.0,E,r;s;,1237671256914330782,82.89839,28.97744,1,3,24.635,21.694,21.209,21.372,20.437,1.238,0.247,0.14,0.126,0.142,24.637,21.644,21.132,20.794,19.855,2.655,0.56,0.305,0.194,0.212,9007199430934801,302022672,4503599929393168,70643924107281,70643924107281,24.635,21.473,20.974,20.918,20.048,0.927,0.074,0.057,0.059,0.098,2,4.234,0.234
178.3-02.5,K~3-68,5,31,35.9,,28,58,41.56,82.8994,28.97821,T,1992secg.book.....A,12.0,12.0,E,r;s;,1237671256914330778,82.89939,28.97813,1,3,19.716,19.205,18.993,19.163,19.121,0.033,0.055,0.064,0.021,0.04,18.271,15.891,16.015,16.94,16.481,0.055,0.037,0.045,0.027,0.048,2252074960060432,2252074960060432,6755399709523984,275146510352,2252074960061712,18.025,16.081,16.036,16.794,16.281,0.026,0.004,0.004,0.008,0.018,1,0.276,2.956
191.4+33.1,TK~1,8,27,5.6,,31,30,8.5,126.77313,31.50236,L,2001A&A...378..843K,2360.0,1690.0,,,1237658203954282699,126.77305,31.5023,1,6,14.916,15.375,15.945,16.299,16.696,0.018,0.007,0.009,0.01,0.015,14.946,15.386,15.989,16.364,16.744,0.003,0.001,0.002,0.003,0.01,268468224,268468224,4503599895838720,268468224,419463680,14.896,15.34,15.937,16.298,16.683,0.004,0.004,0.004,0.005,0.009,0,0.314,0.008
201.9-04.6,We~1-4,6,14,33.7,,7,34,29.86,93.64048,7.57496,T,1992secg.book.....A,41.4,37.6,B,p;s;,1237674286473347688,93.64013,7.57493,1,6,23.274,22.729,21.513,24.012,22.827,0.489,0.159,0.098,0.757,0.841,23.547,22.973,21.332,24.133,22.827,1.629,0.499,0.214,2.193,2.12,9007199288328209,275179896848,4574243551445009,9007199422660625,9007199397515537,23.198,22.555,21.167,24.019,22.827,0.614,0.148,0.065,0.842,0.774,1,1.271,0.346
201.9-04.6,We~1-4,6,14,33.7,,7,34,29.86,93.64048,7.57496,T,1992secg.book.....A,41.4,37.6,B,p;s;,1237674286473347682,93.63938,7.57433,1,3,24.503,23.955,21.324,24.347,23.393,0.866,0.554,0.077,0.733,0.572,24.527,23.953,21.149,24.053,23.378,2.324,0.974,0.16,1.72,1.395,9007199397347601,2392537478369553,4503874807267344,11258999211196689,9007199431037201,24.503,23.736,20.978,24.342,23.538,1.159,0.388,0.055,0.868,0.624,2,4.535,0.346
202.9+07.4,Kn~60,7,0,6.63,,12,14,41.3,105.02763,12.24481,T,2012IAUS..283..414K,9.0,-999.0,E,a;p;s;,1237673808647553804,105.02805,12.24447,1,3,20.35,19.274,19.548,21.085,20.783,0.252,0.088,0.109,0.219,0.241,19.974,18.766,19.024,20.608,20.65,0.51,0.167,0.209,0.483,0.683,70643924107281,275179929616,4503874807300112,70643924107281,70369046200337,19.822,18.659,18.915,20.435,20.315,0.048,0.009,0.013,0.052,0.192,2,1.901,0.634
202.9+07.4,Kn~60,7,0,6.63,,12,14,41.3,105.02763,12.24481,T,2012IAUS..283..414K,9.0,-999.0,E,a;p;s;,1237673808647553803,105.02764,12.24476,1,3,18.949,19.659,19.721,20.522,20.456,0.034,0.172,0.142,0.248,0.436,18.886,19.563,19.486,20.407,20.245,0.067,0.423,0.314,0.669,1.027,275179929616,302022672,4503874807300112,302022672,70644058325009,18.816,19.449,19.413,20.254,20.137,0.021,0.016,0.018,0.04,0.142,1,0.166,0.307
202.9+07.4,Kn~60,7,0,6.63,,12,14,41.3,105.02763,12.24481,T,2012IAUS..283..414K,9.0,-999.0,E,a;p;s;,1237673808647553802,105.02721,12.24514,1,3,19.78,18.384,18.973,20.524,20.19,0.126,0.023,0.039,0.162,0.179,18.72,17.23,17.655,19.254,19.515,0.259,0.043,0.066,0.326,0.587,2322443704373265,2252074960195600,6755674587430928,275146375184,275146375184,18.651,17.28,17.698,19.173,18.997,0.025,0.004,0.007,0.029,0.092,3,1.907,1.275
203.8+18.5,StDr~140,7,43,20.32,+,16,7,52.9,115.83467,16.13136,L,FrenchAmateurs,414.0,-999.0,R,a;,1237664092892102833,115.83467,16.13134,1,6,16.412,16.898,17.436,17.835,18.165,0.016,0.014,0.014,0.015,0.024,16.45,16.926,17.495,17.939,18.237,0.005,0.003,0.005,0.009,0.039,268468240,268468240,4503599895838736,269647888,275146375184,16.396,16.879,17.434,17.853,18.163,0.006,0.004,0.005,0.007,0.023,0,0.076,0.002
208.5+33.2,Abell~30,8,46,53.5,,17,52,45.48,131.72298,17.8793,T,1992secg.book.....A,127.0,127.0,R,a;m;r;s;,1237667209970778286,131.72361,17.87835,1,6,19.335,17.723,17.037,16.783,16.672,2.439,0.421,0.082,0.051,0.039,19.398,17.799,17.085,16.852,16.756,4.31,0.823,0.184,0.113,0.072,268599312,268603408,4503599895973904,268468240,402685968,19.34,17.725,17.017,16.78,16.675,0.032,0.006,0.005,0.006,0.009,2,4.029,0.02
