PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,GALEX_IAUName,GALEX_objID,photoExtractID,GALEX_RA,GALEX_DEC,E_bv,glon,glat,fov_radius,nuv_mag,nuv_magerr,fuv_mag,fuv_magerr,nuv_artifact,fuv_artifact,fuv_weight,nuv_weight,NUV_MAGERR_ISO,NUV_MAG_APER_1,NUV_MAG_APER_2,NUV_MAG_ISO,NUV_MAG_APER_3,NUV_MAG_APER_4,NUV_MAG_APER_5,NUV_MAG_APER_6,NUV_MAG_APER_7,NUV_MAGERR_APER_1,NUV_MAGERR_APER_2,NUV_MAGERR_APER_3,NUV_MAGERR_APER_4,NUV_MAGERR_APER_5,NUV_MAGERR_APER_6,NUV_MAGERR_APER_7,NUV_MAG_AUTO,NUV_MAGERR_AUTO,NUV_KRON_RADIUS,NUV_A_IMAGE,NUV_B_IMAGE,NUV_THETA_IMAGE,NUV_ELLIPTICITY,NUV_FWHM_IMAGE,NUV_CLASS_STAR,FUV_MAG_ISO,FUV_MAGERR_ISO,FUV_MAG_APER_1,FUV_MAG_APER_2,FUV_MAG_APER_3,FUV_MAG_APER_4,FUV_MAG_APER_5,FUV_MAG_APER_6,FUV_MAG_APER_7,FUV_MAGERR_APER_1,FUV_MAGERR_APER_2,FUV_MAGERR_APER_3,FUV_MAGERR_APER_4,FUV_MAGERR_APER_5,FUV_MAGERR_APER_6,FUV_MAGERR_APER_7,FUV_MAG_AUTO,FUV_MAGERR_AUTO,FUV_KRON_RADIUS,FUV_A_IMAGE,FUV_B_IMAGE,FUV_THETA_IMAGE,FUV_ELLIPTICITY,FUV_FWHM_IMAGE,FUV_CLASS_STAR,grankdist,ngrankdist,primggroupid,primgid,FUVavg,NUVavg,FUVavgerr,NUVavgerr,gdistancerank,HASHGALEXdist,NUV_DIFF_45
044.3+10.4,We~3-1,18,34,2.65,,14,49,19.4,278.51104,14.82206,T,1992secg.book.....A,175.0,160.0,E,a;,GALEX~J183402.6+144920,6375278553204786970,6375278553201639424,278.51086,14.82236,0.352,44.32574,10.47966,0.201,17.313,0.033,16.564,0.034,0,0,124.141,92.562,0.032,-0.81,-1.519,-2.821,-2.218,-2.582,-2.682,-2.741,-2.773,0.113,0.075,0.046,0.035,0.034,0.033,0.034,-2.767,0.033,3.5,3.569,2.643,71.461,0.259,4.61,0.955,-2.333,0.033,-0.704,-1.397,-1.957,-2.18,-2.237,-2.261,-2.294,0.104,0.064,0.042,0.036,0.035,0.034,0.034,-2.256,0.034,3.5,2.513,2.091,-21.654,0.168,3.284,0.987,0,1,6375278553204786970,6375278553204786970,16.564,17.313,0.034,0.033,0,1.261,0.0
045.0-12.4,WHTZ~3,19,57,59.3,,4,47,30.98,299.49701,4.79194,T,2010PASA...27..156J,92.0,69.0,I,,GALEX~J195759.3+044731,6379395086118031384,6379395086114881536,299.4972,4.79219,0.107,45.01844,-12.46472,0.27,19.122,0.145,18.549,0.115,0,0,77.016,58.344,0.11,1.344,0.6,-0.816,-0.081,-0.448,-0.597,-0.785,-0.93,0.369,0.234,0.158,0.127,0.13,0.13,0.136,-0.958,0.145,5.073,3.377,2.182,45.744,0.354,13.236,0.814,-0.223,0.112,1.882,1.11,0.302,0.069,-0.044,-0.216,-0.313,0.423,0.281,0.152,0.13,0.127,0.12,0.119,-0.271,0.115,4.286,2.396,2.066,62.268,0.138,9.667,0.938,1,2,6379395086118031384+6379395086084477400,6379395086118031384,18.5,18.962,0.049,0.16,0,1.131,0.049
045.0-12.4,WHTZ~3,19,57,59.3,,4,47,30.98,299.49701,4.79194,T,2010PASA...27..156J,92.0,69.0,I,,GALEX~J195759.2+044733,6379395086084477400,6379395086081327104,299.49673,4.79254,0.107,45.01853,-12.46414,0.285,18.802,0.096,18.451,0.095,0,0,109.641,82.562,0.08,1.589,0.919,-1.215,0.104,-0.36,-0.67,-0.892,-1.08,0.321,0.251,0.149,0.112,0.101,0.098,0.099,-1.278,0.096,3.5,5.97,3.007,29.288,0.496,21.675,0.906,-0.366,0.09,1.73,0.995,0.34,0.052,-0.065,-0.238,-0.393,0.348,0.199,0.132,0.111,0.107,0.101,0.096,-0.369,0.095,4.329,3.452,1.959,49.599,0.433,13.377,0.716,2,-99,,6379395086118031384,-999.0,-999.0,-999.0,-999.0,-99,2.396,0.21
045.6+24.3,K~1-14,17,42,36.5,,21,26,59.35,265.65216,21.44982,T,1992secg.book.....A,54.0,51.5,R,a;r;s;,GALEX~J174236.6+212700,6375243317324546986,6375243317323497472,265.65278,21.45003,0.098,45.60439,24.31715,0.37,14.857,0.009,-888.0,-999.0,0,-999,-999.0,119.781,0.009,-2.993,-3.783,-5.27,-4.505,-4.878,-4.985,-5.039,-5.094,0.039,0.022,0.014,0.011,0.01,0.01,0.01,-5.223,0.009,3.5,5.496,5.083,-76.079,0.075,4.111,0.859,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,6375243317293089868,-999.0,-999.0,-999.0,-999.0,-99,2.212,0.007
045.6+24.3,K~1-14,17,42,36.5,,21,26,59.35,265.65216,21.44982,T,1992secg.book.....A,54.0,51.5,R,a;r;s;,GALEX~J174236.6+212659,6375243317293089868,6375243317289943040,265.65286,21.44991,0.098,45.6043,24.31704,0.378,14.886,0.01,14.51,0.014,0,0,102.609,106.531,0.01,-2.996,-3.732,-5.241,-4.484,-4.869,-4.97,-5.021,-5.077,0.04,0.025,0.015,0.011,0.011,0.01,0.01,-5.194,0.01,3.5,5.249,4.831,85.996,0.08,4.055,0.916,-4.38,0.013,-2.59,-3.279,-3.888,-4.103,-4.158,-4.193,-4.237,0.044,0.029,0.018,0.015,0.015,0.015,0.014,-4.31,0.014,3.5,4.553,4.227,75.584,0.072,3.044,0.993,1,2,6375243317293089868+6375243317324546986,6375243317293089868,14.51,14.872,0.014,0.015,0,2.362,0.002
046.9+24.3,PaGo~2,17,44,15.3,+,22,36,26.8,266.06375,22.60744,L,FrenchAmateurs,600.0,-999.0,,,GALEX~J174415.3+223626,6375243307629414362,6375243307626266624,266.06388,22.60749,0.1,46.94045,24.37418,0.533,16.028,0.017,15.527,0.022,17,0,114.25,97.781,0.017,-1.907,-2.588,-4.103,-3.37,-3.827,-3.97,-4.018,-4.05,0.067,0.044,0.027,0.019,0.018,0.017,0.017,-4.052,0.017,3.5,3.832,2.844,-75.253,0.258,4.514,0.967,-3.329,0.022,-1.464,-2.191,-2.891,-3.204,-3.279,-3.298,-3.313,0.077,0.048,0.03,0.024,0.022,0.022,0.022,-3.293,0.022,3.5,2.347,2.185,23.261,0.069,3.507,0.998,2,-99,,6375243316219349434,-999.0,-999.0,-999.0,-999.0,-99,0.459,0.043
046.9+24.3,PaGo~2,17,44,15.3,+,22,36,26.8,266.06375,22.60744,L,FrenchAmateurs,600.0,-999.0,,,GALEX~J174415.3+223626,6375243316219349434,6375243316216201216,266.06394,22.60738,0.1,46.94036,24.37408,0.437,16.057,0.017,15.546,0.024,0,0,83.453,101.812,0.017,-2.005,-2.749,-4.082,-3.503,-3.875,-3.97,-4.003,-4.025,0.064,0.04,0.024,0.019,0.018,0.017,0.017,-4.023,0.017,3.5,3.797,2.528,-63.837,0.334,4.463,0.994,-3.306,0.024,-1.801,-2.457,-3.033,-3.22,-3.264,-3.281,-3.298,0.067,0.044,0.029,0.025,0.024,0.024,0.024,-3.274,0.024,3.5,2.144,1.944,-47.57,0.093,3.089,1.0,1,4,6375243316219349434+6375243307629414362+6375243316250806333+6375243307660871675,6375243316219349434,15.536,16.054,0.01,0.019,0,0.68,-0.005
046.9+24.3,PaGo~2,17,44,15.3,+,22,36,26.8,266.06375,22.60744,L,FrenchAmateurs,600.0,-999.0,,,GALEX~J174415.3+223627,6375243316250806333,6375243316249755648,266.06411,22.60767,0.1,46.94072,24.37403,0.409,16.081,0.026,-888.0,-999.0,0,-999,-999.0,41.219,0.026,-2.021,-2.781,-4.057,-3.54,-3.871,-3.96,-3.993,-4.009,0.095,0.06,0.036,0.028,0.027,0.026,0.026,-3.999,0.026,3.5,3.309,2.64,-20.816,0.202,4.108,0.992,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,3,-99,,6375243316219349434,-999.0,-999.0,-999.0,-999.0,-99,1.459,-0.011
046.9+24.3,PaGo~2,17,44,15.3,+,22,36,26.8,266.06375,22.60744,L,FrenchAmateurs,600.0,-999.0,,,GALEX~J174415.4+223627,6375243307660871675,6375243307659821056,266.06417,22.60775,0.1,46.94082,24.37401,0.541,16.048,0.018,-888.0,-999.0,17,-999,-999.0,90.719,0.018,-1.82,-2.611,-4.092,-3.418,-3.84,-3.96,-4.003,-4.027,0.08,0.046,0.027,0.02,0.019,0.018,0.018,-4.032,0.018,3.5,3.924,2.731,-43.47,0.304,4.432,0.987,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,4,-99,,6375243316219349434,-999.0,-999.0,-999.0,-999.0,-99,1.782,0.02
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.7+275433,3234958922050702236,3234958922049650688,246.89079,27.90921,0.06,47.05174,42.48223,0.002,13.96,0.002,-888.0,-999.0,281,-999,-999.0,964.375,0.002,-3.576,-4.324,-6.149,-5.091,-5.478,-5.593,-5.638,-5.669,0.01,0.006,0.004,0.003,0.003,0.003,0.003,-6.12,0.002,3.5,19.316,17.725,7.353,0.082,4.114,0.997,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,0.772,0.016
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.8+275433,6371443463089554958,6371443463086407680,246.89083,27.9093,0.06,47.05186,42.48221,0.463,14.083,0.009,13.354,0.012,0,0,51.773,54.391,0.009,-3.227,-3.968,-6.017,-4.779,-5.264,-5.448,-5.506,-5.54,0.047,0.031,0.019,0.013,0.012,0.011,0.011,-5.997,0.009,3.5,17.498,16.141,11.297,0.078,6.926,0.938,-5.515,0.012,-3.522,-4.205,-4.786,-5.021,-5.085,-5.107,-5.124,0.041,0.027,0.018,0.015,0.014,0.014,0.014,-5.466,0.012,3.5,15.859,15.251,-5.95,0.038,3.078,0.991,1,7,6371443463089554958+3234958922050702236+6371443454497523196+6371443454531077909+6371443454566729477+6371443454600284061+6371443463123109511,6371443463089554958,13.42,14.069,0.077,0.053,0,0.87,0.085
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.7+275433,6371443454497523196,6371443454496473088,246.89081,27.90918,0.06,47.0517,42.4822,0.53,14.146,0.008,-888.0,-999.0,1,-999,-999.0,96.734,0.008,-2.942,-3.662,-5.948,-4.502,-4.996,-5.223,-5.34,-5.401,0.041,0.029,0.016,0.012,0.01,0.01,0.009,-5.934,0.008,3.5,18.594,17.288,-13.305,0.07,7.658,0.509,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,3,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,0.886,0.127
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.8+275433,6371443454531077909,6371443454530027520,246.89093,27.90934,0.06,47.05194,42.48213,0.498,14.093,0.008,-888.0,-999.0,17,-999,-999.0,71.109,0.008,-3.147,-3.933,-6.002,-4.755,-5.212,-5.396,-5.474,-5.511,0.046,0.028,0.016,0.012,0.011,0.01,0.01,-5.987,0.008,3.5,17.688,16.795,4.935,0.05,5.298,0.669,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,4,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,1.188,0.084
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.8+275434,6371443454600284061,6371443454597136384,246.89102,27.90972,0.06,47.05247,42.48214,0.509,14.089,0.008,13.338,0.01,17,0,63.039,89.672,0.008,-2.886,-3.682,-6.009,-4.601,-5.172,-5.414,-5.483,-5.518,0.047,0.029,0.016,0.011,0.01,0.009,0.009,-5.991,0.008,3.5,17.733,17.051,-8.362,0.038,6.858,0.784,-5.497,0.01,-3.314,-4.046,-4.679,-4.931,-4.993,-5.013,-5.033,0.043,0.026,0.016,0.014,0.013,0.013,0.013,-5.482,0.01,3.5,17.668,17.271,21.428,0.022,3.778,0.891,6,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,2.126,0.142
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.8+275432,6371443454566729477,6371443454563581952,246.89122,27.90914,0.06,47.05175,42.48184,0.52,14.069,0.009,13.467,0.011,17,0,73.656,60.344,0.009,-3.106,-3.874,-6.029,-4.718,-5.221,-5.42,-5.51,-5.553,0.052,0.033,0.019,0.014,0.012,0.011,0.011,-6.011,0.009,3.5,17.473,16.401,-3.293,0.061,5.847,0.786,-5.375,0.011,-3.113,-3.864,-4.52,-4.789,-4.861,-4.888,-4.913,0.046,0.026,0.017,0.014,0.013,0.013,0.013,-5.353,0.011,3.5,17.3,16.348,27.94,0.055,3.266,0.935,5,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,2.177,0.099
047.0+42.4,Abell~39,16,27,33.7,,27,54,33.44,246.89056,27.90929,T,1992secg.book.....A,162.0,162.0,R,r;,GALEX~J162733.8+275435,6371443463123109511,6371443463119962112,246.89107,27.90973,0.06,47.05249,42.48209,0.467,14.045,0.008,13.521,0.009,1,0,92.562,84.297,0.008,-3.093,-3.914,-6.057,-4.787,-5.3,-5.476,-5.546,-5.593,0.046,0.027,0.015,0.011,0.01,0.009,0.009,-6.035,0.008,3.5,17.002,16.647,13.671,0.021,5.446,0.939,-5.307,0.009,-2.901,-3.608,-4.326,-4.639,-4.722,-4.753,-4.781,0.042,0.026,0.016,0.013,0.012,0.012,0.012,-5.299,0.009,3.5,18.774,18.112,-15.64,0.035,3.793,0.94,7,-99,,6371443463089554958,-999.0,-999.0,-999.0,-999.0,-99,2.266,0.076
048.5+04.2,K~4-16,19,4,51.4,,15,47,36.67,286.2142,15.79352,T,1992secg.book.....A,3.0,3.0,S,,GALEX~J190451.4+154736,6375208130838529642,6375208130837479424,286.21444,15.79359,0.742,48.51559,4.243,0.504,20.9,0.281,-888.0,-999.0,1,-999,-999.0,62.719,0.235,2.135,1.599,0.836,0.84,0.784,0.75,0.865,0.844,0.511,0.422,0.231,0.263,0.318,0.459,0.574,0.82,0.281,3.5,1.436,1.255,52.104,0.126,8.029,0.979,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,6375208130771420753,-999.0,-999.0,-999.0,-999.0,-99,0.856,-0.066
048.5+04.2,K~4-16,19,4,51.4,,15,47,36.67,286.2142,15.79352,T,1992secg.book.....A,3.0,3.0,S,,GALEX~J190451.4+154737,6375208130771420753,6375208130770370560,286.21455,15.79386,0.742,48.51588,4.24303,0.502,21.305,0.328,-888.0,-999.0,0,-999,-999.0,75.5,0.283,3.486,2.671,1.378,1.634,1.284,1.247,1.403,1.603,1.169,0.708,0.337,0.322,0.412,0.639,0.986,1.225,0.328,3.5,1.773,1.045,-4.74,0.41,8.142,0.967,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,1,3,6375208130771420753+6375208130838529642+6375208130804975303,6375208130771420753,-999.0,21.129,-999.0,0.17,0,1.705,-0.063
048.5+04.2,K~4-16,19,4,51.4,,15,47,36.67,286.2142,15.79352,T,1992secg.book.....A,3.0,3.0,S,,GALEX~J190451.4+154735,6375208130804975303,6375208130803924992,286.21454,15.79316,0.742,48.51525,4.24272,0.495,21.183,0.334,-888.0,-999.0,0,-999,-999.0,74.406,0.247,3.515,2.689,1.094,1.639,1.083,0.996,1.54,1.584,1.246,0.671,0.355,0.279,0.34,0.702,0.956,1.103,0.334,3.5,1.914,1.33,-62.7,0.305,9.553,0.963,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,3,-99,,6375208130771420753,-999.0,-999.0,-999.0,-999.0,-99,1.756,-0.013
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,GALEX~J184954.8+175714,6375173030285413257,6375173030284361728,282.47857,17.95415,0.314,48.85873,8.40596,0.199,18.137,0.061,-888.0,-999.0,0,-999,-999.0,63.922,0.058,0.068,-0.624,-1.96,-1.368,-1.785,-1.902,-1.951,-1.949,0.201,0.137,0.083,0.063,0.061,0.062,0.068,-1.943,0.061,3.5,2.554,1.935,36.82,0.242,5.114,0.979,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,6375173030153292762,-999.0,-999.0,-999.0,-999.0,-99,0.664,0.017
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,GALEX~J184954.8+175715,6375173030186847229,6375173030183698432,282.47857,17.95424,0.314,48.85882,8.406,0.213,18.169,0.06,18.329,0.089,0,0,82.938,64.078,0.058,-0.316,-0.952,-1.93,-1.582,-1.827,-1.894,-1.923,-1.943,0.167,0.112,0.071,0.061,0.06,0.063,0.067,-1.911,0.06,3.5,2.135,1.796,-69.121,0.159,3.295,0.983,-0.551,0.085,1.245,0.506,-0.187,-0.429,-0.463,-0.515,-0.554,0.277,0.177,0.107,0.091,0.091,0.092,0.094,-0.491,0.089,3.5,2.199,1.636,50.299,0.256,4.393,0.983,4,-99,,6375173030153292762,-999.0,-999.0,-999.0,-999.0,-99,0.687,-0.033
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,GALEX~J184954.8+175715,6375173030153292762,6375173030150144000,282.47858,17.95434,0.314,48.85892,8.40603,0.188,18.172,0.061,18.196,0.09,0,0,86.219,65.078,0.057,-0.168,-0.888,-1.958,-1.482,-1.787,-1.87,-1.915,-1.961,0.193,0.112,0.075,0.062,0.06,0.062,0.066,-1.908,0.061,3.5,2.586,2.09,86.932,0.192,3.798,0.999,-0.629,0.088,1.191,0.399,-0.188,-0.516,-0.602,-0.627,-0.637,0.314,0.172,0.117,0.095,0.091,0.094,0.098,-0.624,0.09,3.5,2.2,1.733,-65.874,0.213,4.911,0.983,1,5,6375173030153292762+6375173030285413257+6375173030251858838+6375173030186847229+6375173030218304517,6375173030153292762,18.263,18.122,0.066,0.066,0,0.869,-0.017
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,GALEX~J184954.8+175714,6375173030251858838,6375173030250807296,282.4785,17.95413,0.314,48.8587,8.40601,0.222,18.138,0.06,-888.0,-999.0,0,-999,-999.0,62.789,0.059,-0.109,-0.793,-1.94,-1.49,-1.818,-1.923,-1.918,-1.927,0.19,0.127,0.079,0.063,0.06,0.064,0.07,-1.942,0.06,3.5,2.274,1.854,-52.161,0.185,4.465,0.982,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,3,-99,,6375173030153292762,-999.0,-999.0,-999.0,-999.0,-99,0.887,0.006
048.8+08.4,Kn~66,18,49,54.9,,17,57,15.01,282.47876,17.95417,L,2014apn6.confE..48K,2.0,2.0,S,,GALEX~J184954.8+175714,6375173030218304517,6375173030217252864,282.47843,17.95415,0.314,48.85868,8.40608,0.182,17.994,0.052,-888.0,-999.0,0,-999,-999.0,71.484,0.051,-0.028,-0.804,-2.101,-1.634,-1.975,-2.045,-2.081,-2.053,0.194,0.123,0.068,0.054,0.053,0.054,0.059,-2.086,0.052,3.5,2.278,1.936,10.449,0.15,4.655,0.994,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,5,-99,,6375173030153292762,-999.0,-999.0,-999.0,-999.0,-99,1.129,-0.031
048.9+04.3,IPHASX~J190512.4+161347,19,5,12.49,,16,13,47.4,286.30204,16.22983,T,2014MNRAS.443.3388S,63.0,58.0,R,a;r;,GALEX~J190512.4+161347,6375208122182536934,6375208122180435968,286.302,16.22989,0.779,48.94373,4.36615,0.365,-999.0,-999.0,20.577,0.393,0,0,62.625,67.562,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2.261,0.378,4.402,3.126,2.3,2.231,1.908,1.848,1.533,1.812,0.838,0.413,0.44,0.431,0.499,0.451,1.757,0.393,6.89,1.382,0.832,79.538,0.398,6.4,0.955,0,1,6375208122182536934,6375208122182536934,20.577,-999.0,0.393,-999.0,1,0.247,-0.1
048.9+04.3,IPHASX~J190512.4+161347,19,5,12.49,,16,13,47.4,286.30204,16.22983,T,2014MNRAS.443.3388S,63.0,58.0,R,a;r;,GALEX~J190512.2+161345,6375208122181485030,6375208122180435968,286.30083,16.2293,0.779,48.9427,4.36689,0.365,21.506,0.611,-999.0,-999.0,0,0,62.945,67.469,0.306,6.637,4.034,1.487,2.079,1.633,1.934,2.837,3.665,11.719,1.946,0.517,0.454,0.787,2.375,6.727,1.426,0.611,5.365,2.122,1.018,10.126,0.52,8.797,0.894,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6375208122181485030,6375208122181485030,-999.0,21.506,-999.0,0.611,2,4.6,-0.401
048.9+04.3a,Pa~19,19,5,8.64,,16,15,20.6,286.286,16.25572,L,2014apn6.confE..48K,35.0,32.0,E,a;r;,GALEX~J190508.6+161520,6375208122217136598,6375208122213990400,286.28601,16.25581,0.779,48.95991,4.3916,0.36,19.018,0.107,18.98,0.156,0,0,64.641,50.289,0.101,0.781,0.077,-1.059,-0.652,-0.994,-1.047,-1.042,-0.987,0.327,0.211,0.13,0.104,0.108,0.122,0.147,-1.062,0.107,3.5,1.967,1.798,-42.926,0.086,5.339,0.982,0.103,0.147,2.009,1.131,0.354,0.126,0.166,0.168,0.189,0.517,0.311,0.173,0.15,0.158,0.172,0.188,0.16,0.156,3.5,1.734,1.614,16.965,0.069,9.553,0.882,2,-99,,6375208122183582239,-999.0,-999.0,-999.0,-999.0,-99,0.331,-0.046
048.9+04.3a,Pa~19,19,5,8.64,,16,15,20.6,286.286,16.25572,L,2014apn6.confE..48K,35.0,32.0,E,a;r;,GALEX~J190508.6+161520,6375208122183582239,6375208122180435968,286.2861,16.25573,0.779,48.95988,4.39149,0.338,19.151,0.103,18.831,0.132,0,0,65.781,66.109,0.098,0.898,0.198,-0.879,-0.432,-0.683,-0.834,-0.923,-0.931,0.304,0.193,0.121,0.11,0.105,0.112,0.129,-0.929,0.103,3.5,2.447,1.758,1.393,0.282,4.85,0.983,0.045,0.13,1.494,0.87,0.26,0.044,0.008,-0.085,-0.071,0.346,0.239,0.154,0.131,0.133,0.135,0.145,0.011,0.132,3.679,1.737,1.653,71.118,0.048,4.289,0.984,1,2,6375208122183582239+6375208122217136598,6375208122183582239,18.906,19.085,0.074,0.066,0,0.35,0.051
049.3+88.1,H~4-1,12,59,27.8,,27,38,10.61,194.86575,27.63628,T,1992secg.book.....A,2.7,2.7,E,m;,GALEX~J125927.7+273810,2555724618976465419,2555724618975412224,194.86572,27.63628,0.01,49.30753,88.14742,0.452,16.502,0.013,-888.0,-999.0,0,-999,-999.0,289.125,0.012,-1.432,-2.191,-3.621,-2.988,-3.412,-3.529,-3.562,-3.589,0.051,0.031,0.018,0.014,0.013,0.013,0.013,-3.578,0.013,3.5,3.028,2.771,-5.496,0.085,4.171,0.998,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,3191682144383535761,-999.0,-999.0,-999.0,-999.0,-99,0.091,0.016
049.3+88.1,H~4-1,12,59,27.8,,27,38,10.61,194.86575,27.63628,T,1992secg.book.....A,2.7,2.7,E,m;,GALEX~J125927.7+273810,3187917417441403097,3187917417439297536,194.86577,27.63632,0.01,49.30817,88.14736,0.289,-999.0,-999.0,17.027,0.017,0,0,486.25,421.688,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-1.821,0.017,0.044,-0.743,-1.445,-1.717,-1.776,-1.796,-1.813,0.062,0.034,0.021,0.018,0.017,0.017,0.017,-1.793,0.017,3.5,2.335,2.141,19.203,0.083,3.498,0.99,3,-99,,3191682144383535761,-999.0,-999.0,-999.0,-999.0,-99,0.158,-0.1
