PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,GALEX_IAUName,GALEX_objID,photoExtractID,GALEX_RA,GALEX_DEC,E_bv,glon,glat,fov_radius,nuv_mag,nuv_magerr,fuv_mag,fuv_magerr,nuv_artifact,fuv_artifact,fuv_weight,nuv_weight,NUV_MAGERR_ISO,NUV_MAG_APER_1,NUV_MAG_APER_2,NUV_MAG_ISO,NUV_MAG_APER_3,NUV_MAG_APER_4,NUV_MAG_APER_5,NUV_MAG_APER_6,NUV_MAG_APER_7,NUV_MAGERR_APER_1,NUV_MAGERR_APER_2,NUV_MAGERR_APER_3,NUV_MAGERR_APER_4,NUV_MAGERR_APER_5,NUV_MAGERR_APER_6,NUV_MAGERR_APER_7,NUV_MAG_AUTO,NUV_MAGERR_AUTO,NUV_KRON_RADIUS,NUV_A_IMAGE,NUV_B_IMAGE,NUV_THETA_IMAGE,NUV_ELLIPTICITY,NUV_FWHM_IMAGE,NUV_CLASS_STAR,FUV_MAG_ISO,FUV_MAGERR_ISO,FUV_MAG_APER_1,FUV_MAG_APER_2,FUV_MAG_APER_3,FUV_MAG_APER_4,FUV_MAG_APER_5,FUV_MAG_APER_6,FUV_MAG_APER_7,FUV_MAGERR_APER_1,FUV_MAGERR_APER_2,FUV_MAGERR_APER_3,FUV_MAGERR_APER_4,FUV_MAGERR_APER_5,FUV_MAGERR_APER_6,FUV_MAGERR_APER_7,FUV_MAG_AUTO,FUV_MAGERR_AUTO,FUV_KRON_RADIUS,FUV_A_IMAGE,FUV_B_IMAGE,FUV_THETA_IMAGE,FUV_ELLIPTICITY,FUV_FWHM_IMAGE,FUV_CLASS_STAR,grankdist,ngrankdist,primggroupid,primgid,FUVavg,NUVavg,FUVavgerr,NUVavgerr,gdistancerank,HASHGALEXdist,NUV_DIFF_45
000.6-04.5,PN~PM~1-206,18,5,12.5,-,30,42,13.32,271.302,-30.7037,T,2009A&A...496..813M,21.5,-999.0,E,,GALEX~J180512.5-304212,6388050509261964892,6388050509260914688,271.3024,-30.7035,0.713,0.61082,-4.56074,0.258,19.842,0.337,-888.0,-999.0,0,-999,-999.0,58.5,0.235,2.254,1.359,0.36,0.847,0.511,0.138,-0.243,-0.11,0.683,0.381,0.282,0.289,0.278,0.264,0.385,-0.238,0.337,6.183,2.609,1.347,-53.212,0.484,9.373,0.989,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6388050509261964892,6388050509261964892,-999.0,19.842,-999.0,0.337,0,1.433,0.273
000.7+03.2,M~4-5,17,34,54.7,-,26,35,56.9,263.72797,-26.59914,T,1992secg.book.....A,6.7,4.9,B,m;p;,GALEX~J173454.7-263558,3734682558828383015,3734682558827331584,263.72812,-26.59964,1.691,0.72529,3.24683,0.371,23.515,0.459,-888.0,-999.0,0,-999,-999.0,1166.75,0.293,4.922,4.34,3.43,3.884,3.798,3.827,3.288,3.619,0.639,0.492,0.503,0.712,1.073,0.921,1.678,3.435,0.459,3.5,1.524,0.719,-3.032,0.528,6.246,0.908,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3734682558828383015,3734682558828383015,-999.0,23.515,-999.0,0.459,0,1.858,-0.128
000.7-03.7,M~3-22,18,2,19.2,-,30,14,25.37,270.58017,-30.24038,T,1992secg.book.....A,6.0,6.0,S,,GALEX~J180219.2-301424,6388050509261967082,6388050509260914688,270.58018,-30.24009,0.741,0.71225,-3.79134,0.529,19.557,0.174,-888.0,-999.0,1,-999,-999.0,59.258,0.141,1.383,0.782,-0.545,0.106,-0.295,-0.573,-0.471,-0.36,0.39,0.28,0.186,0.16,0.156,0.217,0.308,-0.523,0.174,3.5,2.155,1.784,73.321,0.172,6.794,0.955,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,3736476961779749239,-999.0,-999.0,-999.0,-999.0,-99,1.04,0.178
000.7-03.7,M~3-22,18,2,19.2,-,30,14,25.37,270.58017,-30.24038,T,1992secg.book.....A,6.0,6.0,S,,GALEX~J180219.2-301426,6388050508188224770,6388050508187172864,270.58034,-30.24064,0.741,0.71184,-3.79174,0.557,19.989,0.287,-888.0,-999.0,17,-999,-999.0,53.055,0.154,3.394,1.679,-0.513,0.683,0.172,-0.057,-0.117,-0.266,1.935,0.547,0.285,0.246,0.256,0.316,0.357,-0.091,0.287,3.5,2.761,1.723,-15.576,0.376,13.074,0.385,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,3,-99,,3736476961779749239,-999.0,-999.0,-999.0,-999.0,-99,1.085,0.13
000.7-03.7,M~3-22,18,2,19.2,-,30,14,25.37,270.58017,-30.24038,T,1992secg.book.....A,6.0,6.0,S,,GALEX~J180219.1-301425,3736476961779749239,3736476961778696192,270.57982,-30.24036,0.741,0.71187,-3.7912,0.506,19.946,0.139,-888.0,-999.0,1,-999,-999.0,190.562,0.102,2.577,1.726,-0.12,0.796,0.162,-0.015,-0.079,-0.091,0.37,0.25,0.147,0.11,0.126,0.158,0.206,-0.134,0.139,3.5,2.966,1.668,-63.54,0.438,13.335,0.029,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,1,3,3736476961779749239+6388050509261967082+6388050508188224770,3736476961779749239,-999.0,19.831,-999.0,0.194,0,1.105,0.077
000.9-04.2,PHR~J1804-3016,18,4,48.17,-,30,16,49.2,271.20071,-30.28033,T,2006MNRAS.373...79P,10.0,10.0,R,a;s;,GALEX~J180447.8-301651,6388050509261966892,6388050509260914688,271.1995,-30.28107,0.768,0.93814,-4.27823,0.355,21.207,0.492,-888.0,-999.0,0,-999,-999.0,58.5,0.312,2.983,2.724,1.197,1.886,1.564,2.028,99.0,99.0,0.825,0.903,0.657,0.655,1.407,99.0,99.0,1.127,0.492,3.5,2.306,0.754,-41.417,0.673,7.884,0.904,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6388050509261966892,6388050509261966892,-999.0,21.207,-999.0,0.492,0,4.608,-0.564
001.0+01.3,JaSt~41,17,42,49.8,-,27,21,19.04,265.7076,-27.35529,T,2001A&A...378..843K,4.7,4.6,E,,GALEX~J174249.8-272116,3735139955665540169,3735139955664486400,265.70766,-27.35463,2.507,1.0259,1.35161,0.525,21.246,0.42,-888.0,-999.0,1,-999,-999.0,889.0,0.175,5.054,4.376,1.607,3.399,3.045,2.16,2.145,1.621,0.928,0.708,0.463,0.524,0.342,0.471,0.39,1.166,0.42,6.948,3.779,1.995,-24.39,0.472,16.47,0.338,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3735139955665540169,3735139955665540169,-999.0,21.246,-999.0,0.42,0,2.382,0.785
001.2+00.7,JaSt~56,17,45,46.9,-,27,30,42.91,266.44559,-27.51192,P,2001A&A...378..843K,6.0,-999.0,S,,GALEX~J174546.8-273039,3735386246270157119,3735386246269108224,266.44517,-27.51088,8.661,1.23524,0.71203,0.493,23.233,0.361,-888.0,-999.0,1,-999,-999.0,987.0,0.447,4.984,4.289,3.838,3.743,3.59,5.532,99.0,99.0,0.852,0.608,0.577,0.775,6.711,99.0,99.0,3.153,0.361,3.5,1.295,0.542,-45.364,0.581,4.979,0.804,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3735386246270157119,3735386246270157119,-999.0,23.233,-999.0,0.361,0,3.975,-2.041
001.2+02.1,Hen~2-262,17,40,12.8,-,26,44,21.37,265.05341,-26.73927,T,1992secg.book.....A,4.6,4.5,E,,GALEX~J174012.8-264422,3734999218177183210,3734999218176131072,265.05371,-26.73958,1.744,1.2409,2.17096,0.179,22.655,0.545,-888.0,-999.0,0,-999,-999.0,1027.25,0.253,5.65,4.619,2.744,3.389,3.128,3.821,3.538,2.47,1.356,0.761,0.374,0.447,1.23,1.34,0.675,2.575,0.545,6.772,1.789,0.863,-58.87,0.518,7.426,0.876,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3734999218177183210,3734999218177183210,-999.0,22.655,-999.0,0.545,0,1.472,-0.793
001.2+02.8,PPA~J1737-2621,17,37,30.3,-,26,21,43.92,264.37623,-26.3622,P,2006MNRAS.373...79P,9.0,6.5,S,,GALEX~J173730.2-262144,6387698575346764467,6387698575345713152,264.37603,-26.36249,1.66,1.23744,2.88488,0.388,21.878,0.418,-888.0,-999.0,0,-999,-999.0,91.438,0.435,4.16,2.887,2.274,2.169,1.821,1.985,5.308,99.0,1.822,0.727,0.505,0.508,0.848,24.339,99.0,1.798,0.418,3.5,1.288,0.714,-74.199,0.445,3.947,0.659,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6387698575346764467,6387698575346764467,-999.0,21.878,-999.0,0.418,1,1.22,-0.264
